Age group,Term,Freq
55 - 65,"""dermatologist recommended"" (23.79%)",0.626098652
16 - 24,"""diminish"" (1.83%)",0.494717862
25 - 34,"""diminish"" (1.83%)",1.015473506
35 - 44,"""diminish"" (1.83%)",0.091132238
45 - 54,"""diminish"" (1.83%)",-0.598868991
55 - 65,"""diminish"" (1.83%)",-1.223775763
16 - 24,"""disappear"" (6.33%)",0.679909513
25 - 34,"""disappear"" (6.33%)",0.968939873
35 - 44,"""disappear"" (6.33%)",-0.107354134
45 - 54,"""disappear"" (6.33%)",-0.495480617
55 - 65,"""disappear"" (6.33%)",-1.125842069
16 - 24,"""doctor recommended"" (3.84%)",-0.207058798
25 - 34,"""doctor recommended"" (3.84%)",0.226778684
35 - 44,"""doctor recommended"" (3.84%)",-0.289224988
45 - 54,"""doctor recommended"" (3.84%)",-0.345097997
55 - 65,"""doctor recommended"" (3.84%)",0.831521841
16 - 24,"""does wonders"" (2.36%)",0.22627417
25 - 34,"""does wonders"" (2.36%)",0.028284271
35 - 44,"""does wonders"" (2.36%)",0.38890873
45 - 54,"""does wonders"" (2.36%)",-0.084852814
55 - 65,"""does wonders"" (2.36%)",-0.820243866
16 - 24,"""doesn't burn"" (2.55%)",1.240157146
25 - 34,"""doesn't burn"" (2.55%)",0.014364564
35 - 44,"""doesn't burn"" (2.55%)",-0.601611607
45 - 54,"""doesn't burn"" (2.55%)",-0.416818756
55 - 65,"""doesn't burn"" (2.55%)",-0.312102807
16 - 24,"""doesn't dry out"" (3.58%)",0.600596007
25 - 34,"""doesn't dry out"" (3.58%)",0.761318882
35 - 44,"""doesn't dry out"" (3.58%)",0.008459099
45 - 54,"""doesn't dry out"" (3.58%)",-0.38911854
55 - 65,"""doesn't dry out"" (3.58%)",-1.091223731
16 - 24,"""doesn't irritate"" (6.46%)",1.3768857
25 - 34,"""doesn't irritate"" (6.46%)",0.607348078
35 - 44,"""doesn't irritate"" (6.46%)",-0.227755529
45 - 54,"""doesn't irritate"" (6.46%)",-0.538331251
55 - 65,"""doesn't irritate"" (6.46%)",-1.066309978
16 - 24,"""double cleanse"" (2.60%)",0.948137474
25 - 34,"""double cleanse"" (2.60%)",0.564511014
35 - 44,"""double cleanse"" (2.60%)",-0.670579052
45 - 54,"""double cleanse"" (2.60%)",-0.782859967
55 - 65,"""double cleanse"" (2.60%)",-0.810930196
16 - 24,"""dramatically"" (1.72%)",0.842743086
25 - 34,"""dramatically"" (1.72%)",-0.042144233
35 - 44,"""dramatically"" (1.72%)",0.105336987
45 - 54,"""dramatically"" (1.72%)",-0.360703668
55 - 65,"""dramatically"" (1.72%)",-0.927031553
16 - 24,"""dries"" (21.37%)",1.309478385
25 - 34,"""dries"" (21.37%)",0.787217466
35 - 44,"""dries"" (21.37%)",-0.026782611
45 - 54,"""dries"" (21.37%)",-0.821652252
55 - 65,"""dries"" (21.37%)",-1.219565333
16 - 24,"""dry and sensitive skin"" (4.35%)",0.478498645
25 - 34,"""dry and sensitive skin"" (4.35%)",0.632853046
35 - 44,"""dry and sensitive skin"" (4.35%)",-0.185225282
45 - 54,"""dry and sensitive skin"" (4.35%)",-0.653433633
55 - 65,"""dry and sensitive skin"" (4.35%)",-0.077177201
16 - 24,"""dry spots"" (3.58%)",-0.028128434
25 - 34,"""dry spots"" (3.58%)",0.651642051
35 - 44,"""dry spots"" (3.58%)",-0.154706386
45 - 54,"""dry spots"" (3.58%)",-0.201587109
55 - 65,"""dry spots"" (3.58%)",-0.346917351
16 - 24,"""easy to apply"" (19.90%)",-1.013271173
25 - 34,"""easy to apply"" (19.90%)",-0.521270177
35 - 44,"""easy to apply"" (19.90%)",-0.234153448
45 - 54,"""easy to apply"" (19.90%)",0.649497065
55 - 65,"""easy to apply"" (19.90%)",1.278087573
16 - 24,"""easy to spread"" (8.02%)",0.117058309
25 - 34,"""easy to spread"" (8.02%)",0.520707649
35 - 44,"""easy to spread"" (8.02%)",0.552999597
45 - 54,"""easy to spread"" (8.02%)",-0.633729465
55 - 65,"""easy to spread"" (8.02%)",-0.916284003
16 - 24,"""easy to use"" (20.11%)",-1.227374103
25 - 34,"""easy to use"" (20.11%)",-0.689305456
35 - 44,"""easy to use"" (20.11%)",-0.100317883
45 - 54,"""easy to use"" (20.11%)",0.783543467
55 - 65,"""easy to use"" (20.11%)",1.250173622
16 - 24,"""eczema"" (18.17%)",0.507879884
25 - 34,"""eczema"" (18.17%)",0.467159002
35 - 44,"""eczema"" (18.17%)",0.011311356
